,1691
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]及び[InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物〔[Number][Unit]（[Number][Unit]）中〕<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]適量[InactIngreName]適量,3
添加物：<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName],3
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物ヒプロメロース[InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName]和物を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロースヒプロメロースフタル酸エステル[InactIngreName][InactIngreName]和物[InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロースヒプロメロースフタル酸エステル[InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName]和物ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]アセスルファムカリウム[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ステビア抽出精製物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]Ｄ‐マンニトール[InactIngreName][InactIngreName]グラフトコポリマー[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]グラフトコポリマー[InactIngreName][InactIngreName][InactIngreName],3
添加物としてＤマンニトール[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]Ｌ－ロイシンを含有する,3
添加物として[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName]グリコール酸ナトリウム[InactIngreName][InactIngreName][InactIngreName]和物ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物（[Number][Unit]中）<BR>ｄｌ－ラクチド－グリコリド共重合体（[Number]：[Number]）[Number][Unit]<<BR>>本剤の実際の充てん量は表示量より多く表示量を注射するに足る量である<<BR>>添加物（[Number][Unit]中）<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]素二ナトリウム二[InactIngreName]和物[Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]Ｄ‐マンニトールを含有する,3
添加物<BR>アセスルファムカリウム[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物び含量<BR>[InactIngreName][Number][Unit][Number][Unit][InactIngreName][Number][Unit],3
添加物（[Number][Unit]中）：<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]適量,3
添加物（[Number][Unit]中）：<BR>[InactIngreName][Number][Unit][InactIngreName]適量<<BR>>[Number][Unit][Number][Unit]中：<BR>[InactIngreName][InactIngreName]塩[Number][Unit],3
添加物（[Number][Unit]中）<BR>[InactIngreName]：[Number][Unit][InactIngreName]：[Number][Unit][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],3
添加物（[Number][Unit]中）<BR>[InactIngreName]：[Number][Unit][InactIngreName]：[Number][Unit][InactIngreName][InactIngreName]和物：[Number][Unit][InactIngreName]：適量,3
添加物（[Number][Unit]中）：<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]適量,3
添加物（[Number][Unit]中）<BR>[InactIngreName][Number][Unit][InactIngreName]適量<<BR>>[Number][Unit][Number][Unit]中<BR>メピバカイン[InactIngreName]塩[Number][Unit],3
添加物<BR>[InactIngreName]カプセル本体：[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]カプセル本体：[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物〉[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],3
添加物[Number][Unit][Number][Unit]中<BR>[InactIngreName]（[InactIngreName]）[Number][Unit],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName]ベンザルコニウム塩化物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],3
添加物<BR>[InactIngreName]ベンザルコニウム塩化物[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ベンザルコニウム塩化物[InactIngreName][InactIngreName]和物[InactIngreName]を含有する,3
添加物<BR>[InactIngreName]濃ベンザルコニウム塩化物液[Number][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]ベンザルコニウム塩化物[InactIngreName],3
添加物<BR>[InactIngreName]ベンザルコニウム塩化物,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][Number]成分[InactIngreName],3
添加物：<BR>[InactIngreName]（[InactIngreName]）[InactIngreName]（[InactIngreName][InactIngreName]）,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ベンザルコニウム塩化物[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][Number]成分,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物ベンザルコニウム塩化物[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ベンザルコニウム塩化物[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>ベンザルコニウム塩化物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]（[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]和物）[InactIngreName],3
添加物<BR>ベンザルコニウム塩化物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物（[Number][Unit]中）<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit]<<BR>>添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物：<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]（[InactIngreName]）,3
添加物[Number][Unit][Number][Unit]中<BR>[InactIngreName]（安定剤）[Number][Unit][InactIngreName]（抗酸化剤）[Number][Unit][InactIngreName]（[InactIngreName]）[Number][Unit][InactIngreName]（[InactIngreName]）適量,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>,3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName]及び[InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]及び[InactIngreName]を含有する,3
添加物：<BR>[InactIngreName]（適量）,3
添加物<BR>[InactIngreName][InactIngreName]和物[Number][Unit][InactIngreName][Number][Unit][InactIngreName],3
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]カプセル本体：[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]カプセル本体：[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]カプセル：[InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]及び[InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]Ｄ‐マンニトール,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]三ニ[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],3
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物ヒプロメロース[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]グリコール酸Ｎａ[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName][InactIngreName],3
添加物<BR>添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,3
添加物<BR>添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分を含有する,3
添加物としてヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分を含有する,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]その他[Number]成分を含有する,3
添加物<BR>添加物としてヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName]グリコール酸Ｎａ[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]タウマチン[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]アスパルテームタウマチン[InactIngreName][InactIngreName],3
添加物：[InactIngreName][InactIngreName]和物<BR>[Number][Unit]（[Number][Unit]）中の分量：適量<<BR>>添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：適量<<BR>>添加物：Ｄ‐ソルビトール<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit],3
添加物<BR>Ｄ‐マンニトール[Number][Unit]<<BR>>成分含有量（[Number][Unit]中）：添加物<BR>[InactIngreName][InactIngreName]和物含有,3
添加物<BR>アスパルテーム[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,3
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]及び[InactIngreName]を含有する,3
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number]成分,3
添加物含量<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]適量,3
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit]精製[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName],3
添加物<BR>[InactIngreName]：[Number][Unit]使用上の注意参照のこと,3
添加物<BR>[InactIngreName]：[Number][Unit]（[InactIngreName]濃度[Number][Unit]使用上の注意参照）,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName][Number]－テトラフルオロエタン,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]及び[InactIngreName]を含有する,3
添加物<BR>アクリル酸[Number]‐エチルヘキシルジ[InactIngreName]アクリルアミドメタクリル酸アセトアセトキシエチルメタクリル酸メチル共重合体[InactIngreName],3
添加物<BR>アクリル酸[Number]－エチルへキシルメタクリル酸[Number]－エチルヘキシルメタクリル酸ドデシル共重合体[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]和物[InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物＞[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName]ヒプロメロース[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物：[InactIngreName][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName]注[Number]）[Number][Unit][InactIngreName][InactIngreName]和物[Number][Unit][InactIngreName]（[InactIngreName]）適量[InactIngreName]（[InactIngreName]）適量<<BR>>注[Number]）[InactIngreName]濃度[Number][Unit],3
添加物<BR>[InactIngreName]…[Number][Unit][InactIngreName],3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]を含有する,3
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分を含有する,3
基剤（[InactIngreName]溶性）<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]<<BR>>添加物<BR>[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]和物[InactIngreName]<<BR>>カートリッジ後部（溶解液）（容量：[Number][Unit]）添加物<BR>[InactIngreName][Number][Unit],3
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]和物[Number][Unit][InactIngreName][Number][Unit][InactIngreName]適量,3
添加物<BR>[InactIngreName][InactIngreName]和物（ウシ乳由来）[Number][Unit]<<BR>>添付溶解液<BR>[InactIngreName][Number][Unit],3
溶解液として[InactIngreName][Number][Unit]を添付している（組成の表参照）,3
添加物：成分名：[InactIngreName]<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：[Number][Unit]<<BR>>添加物：成分名：[InactIngreName]<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：[Number][Unit]<<BR>>添加物：成分名：メチオニン<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：[Number][Unit]<<BR>>添加物：成分名：[InactIngreName]ナトリウム塩<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：[Number][Unit]<<BR>>添加物：成分名：ｍ‐[InactIngreName]<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：[Number][Unit]<<BR>>添加物：成分名：[InactIngreName]<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：適量<<BR>>添加物：成分名：[InactIngreName]<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：適量,3
添加物<BR>[InactIngreName]：[Number][Unit][InactIngreName]：[Number][Unit][InactIngreName][InactIngreName]和物：[Number][Unit][InactIngreName][InactIngreName]を含有,3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]<<BR>>バイアル上部添加物（容量：[Number][Unit]）<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit],3
添加物として[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]及び[InactIngreName]を含有する,3
添加物：<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]を含有する,3
添加物<BR>オキシ[InactIngreName]ナトリウム[Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit],3
添加物（[Number][Unit]中）<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]和物[InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName]和物[Number][Unit][InactIngreName][InactIngreName]和物[Number][Unit][InactIngreName][Number][Unit][InactIngreName]（[InactIngreName]）[Number][Unit][InactIngreName]（[InactIngreName]）適量,3
添加物<BR>[Number][Unit]中にベンゼトニウム塩化物[Number][Unit][InactIngreName][Number][Unit][InactIngreName]を含有,3
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit]<<BR>>添付溶解液<BR>[InactIngreName][Number][Unit],3
添加物（[Number][Unit]中）<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]<<BR>>各製剤には溶解用液が添付されている（［包装］の項参照）,3
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],3
添加物<BR>[Number][Unit][Number][Unit]中[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName],3
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],3
添加物：<BR>プロタミン[InactIngreName]塩[Number][Unit][InactIngreName]適量[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]素二ナトリウム七[InactIngreName]和物[Number][Unit][InactIngreName]適量,3
添加物：<BR>プロタミン[InactIngreName]塩[Number][Unit][InactIngreName]適量[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]素二ナトリウム七[InactIngreName]和物[Number][Unit][InactIngreName]適量<<BR>>含有比：<BR>速効型[InactIngreName]溶性インスリン：中間型イソフェンインスリン＝[Number]：[Number],3
添加物：<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName]素二ナトリウム七[InactIngreName]和物[Number][Unit][InactIngreName]適量[InactIngreName]適量,3
添加物：ｍ‐[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit]<<BR>>添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit]<<BR>>添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit]<<BR>>添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit]<<BR>>添加物：[InactIngreName]<BR>[Number][Unit]（[Number][Unit]）中の分量：適量,3
